sentiment,text
negative,"i m sad that i missed you guys last night"
neutral,"finally got a call for marriage counseling days late"
neutral,"ok then"
neutral,"why baby"
negative,"today was the last day of high school for me and i ended up going home sick stupid dead rats"
neutral,"we re having an impromptu pool party except i don t know how to swim so i can t get in"
negative,"lost my tooth day whilst i was eating gum oww"
positive,"happy year"
positive,"oh i hella forgot to say my official good morning like to hear it here it go goooooooooooood morrrrrrrrning twitterville lol"
neutral,"phew will make a note in case anyone else runs into the same issue"
negative,"what about me i vote every day for you"
negative,"i m starving this diet is killing me but i can t eat after pm"
neutral,"i talk to you"
negative,"im soo bored im deffo missing my music channels"
positive,"nite nite bday girl have fun at concert"
neutral,"had nicotine replacement patch on for hours so far so good but i did sleep for most of those hours getting a bit twitchy now"
neutral,"sanderson what s with twatter lately either i can t get on or the replies don t turn up"
negative,"should be sleeping lost my voice a couple day ago"
negative,"twitpic com xlm hate when my parked car gets hit"
neutral,"i ve heard this fall i m waiting too"
neutral,"more nightmares huggles"
negative,"i am such a creeper i feel disappointed because of it my cyberstalking skills the internet no more privacy"
negative,"going to bed its late and i have headache"
positive,"happy mother s day to all moms out there"
neutral,"grabbing coffee from then making mom breakfast"
positive,"im thinking that im going to have fun tonight and maybe some changes are coming"
neutral,"thanks before the major chop"
positive,"haha i know i cant handle the fame and thank you"
neutral,"just got up and updated my ipod"
positive,"yes sober hahaha tanghaling tapat dude haha wild i don t kno plan plan before you go to us"
positive,"we never miss icarly my son has a huge crush on miranda"
neutral,"saw james carville in the store today his head is really that bald"
neutral,"yellow for blip fm zg"
neutral,"which means you re just going to have to come back to vancouver and have it our way hahah"
positive,"feeling smooth like chrome"
negative,"ew traffic"
neutral,"downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol"
neutral,"rara your not alone i need coffee too"
neutral,"sounds like me"
neutral,"bad day the day you realize what mess you ve put me through will be one of the happiest days of my life"
negative,"walking to class i hate not having a bike especially mine"
neutral,"nesmith"
negative,"failed inspection did you know you can pass wo oven but not wo anti tip bracket which is only sold w oven this is worse than taxes"
positive,"jonas brothers live to party it s rocking so hard i love the song"
positive,"happy mother s day to all the mothers in the world"
positive,"mins through the hr mins google wave demo that looks a lot of fun would love to test it though bit ly wnmsc"
positive,"sleepy tabz is heading to bed fun night listened through the next episode of joss d"
neutral,"the exception for a short dude larenz fineass tate yum"
positive,"screw the reviews i thought wolverine was awesome but not enough dominic monaghan for my liking"
positive,"if you followed us recently please dont be offended that we haven t followed back we hit our limit hopefully we will be free soon"
neutral,"yes i work to"
neutral,"hmmm maybe that s what they meant they eluded to something brand new but you know how the media is"
neutral,"done at the spa now meeting vic for some late lunch"
positive,"happy monday up and about going to tavares today hope everyone has a blessed day"
neutral,"always have wanted to go to oz"
neutral,"thx"
positive,"twitpic com jaz cool luv it"
positive,"that s why i need to be there to represent the blackberries"
neutral,"okay so i m dedicating my th tweet to the fact that i m going to the apple store because there is a huge crack on the glass screen"
neutral,"if only we could ever actually be allowed to stay here and do that"
neutral,"let me know how that turns out"
neutral,"was that sass i detect as long as it isn t back sass haha"
positive,"yeah i was thinking about that ahaha"
neutral,"sports bar shatranjanpoli rest ph all sports bar andheri w dont know whether that helps google ki jai ho"
negative,"i m not sleeping at all until accepts my appology"
negative,"wolverine was boss seriously and will i am was in it what the"
neutral,"i live for pain bring it on"
neutral,"okay i m out for a while back later"
neutral,"what is this powerblog challenge you keep talking about i m a newbie follower"
positive,"almost died laptop screen was set to brightness after i reinstalled windows vista got a headache now insanedefaults"
neutral,"waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time"
negative,"trying to decide on a movie with the friends not going to well lol p no bible study nite which means day cake buy my own"
neutral,"going to shower because i don t want to smell at school tomorrow"
neutral,"sigh you know i am"
positive,"discovered cause of a bug in the new build publishing bug fix now hopefully new beta by tomorrow"
neutral,"here are free twitter tools will get you followers short to q jijr com hulz short to r ve org xpg"
neutral,"just got home from work and is chugging down a big bottle of apple juice"
negative,"yes it does please dont go if you die i will cry which normally leads to small animals getting harmed"
positive,"writing report cards soooo tired but what an amazing day check it out on fb soon"
neutral,"it was only once for my big brother and i m done now"
neutral,"good news finally finished my workout that has been paused for hours bad news my resistance band is torn"
positive,"well good morning all what a wonderful day in the neighborhood thanks for all those that are now following another this morning"
positive,"ftsk and mercy mercedes were amazing tonight as always"
positive,"hope he is ok"
positive,"can t school just be done already it hurts too much seeing him every day"
neutral,"i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack"
neutral,"hell yeah"
neutral,"him shirt at dinner do you need to ask does it actually have ville on it"
neutral,"i know"
neutral,"huh what the smelly noooo i love alex vixon"
positive,"went to a party last night dindin and i showed up in matching outfits great minds think alike anyway happy birthday ate lara"
positive,"happy b day just woke up on this side of earth so wishes are bit late"
positive,"thank you for teaching me values and to be a better person each day i love so much you re the best mum in the world"
positive,"happy mothers day"
positive,"laughs i m glad that you have self confidence it s a wonderful trait to have i ll applaud extra loud for it okay"
positive,"thanks"
neutral,"twittering after days"
positive,"getting ready for week its too nice today to be stuck inside working"
negative,"i am tres depressed"
negative,"felt like behaved like my son ate to compensate pigged out on home roasted sugar almonds painful tum threw up still feel sick"
positive,"happy mothers day people i love my mom a lot still"
negative,"i m sorry to hear that"
positive,"that s awesome dude yay for surprise celebrities i got to meet him a few years ago he was soooo friendly"
positive,"it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love"
neutral,"is getting the hang of twitter"
negative,"you know your neck is jacked up when you are forced to pay for parking bc you can t turn you head to parallel park in the free spaces"
neutral,"i want it back now bit ly ppwz"
negative,"going to miss my roomie we will no longer be roomies starting tomorrow"
neutral,"bathing with two little angels keyla and janice"
negative,"yep finished chocked full of spelling and grammatical errors but i m cleaning it up tomorrow and popping it up hehe"
neutral,"hahahha lol true that i always remember my bd but i can never remember what date or even day it is"
neutral,"family is here hanging with them"
positive,"watching ellen love her then doing the dishes and tanning it s gorgeous out"
negative,"what s goin on hun i m worried about you"
negative,"im not bannished but i am at work till"
neutral,"morning if i get to see it i ll let you know right now i m going to go see wolverine"
neutral,"red top tabloids build em up knock em down"
positive,"tonight in party w my girls minus vita"
neutral,"why not now you made me sad i thought you d be jumping for joy"
neutral,"simple my a"
neutral,"the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now"
positive,"i saw the play of it here it was amazing"
positive,"i am glad to break my twitter virginity with you two"
negative,"dinner with the fam i have missed them"
neutral,"live that s what i want more the better bound to be a few bad eggs though but they will soon learn"
neutral,"hell yeah kellynn got a twitter finally"
positive,"i know it was worth a shot though"
positive,"just opened a facebook account i m a little confused i don t really get it twitter seems much better"
negative,"ship i m stuck"
positive,"dustbin baby on at cannot wait x"
negative,"not going to dwell on it it happened it s passed just a shame as he was so supportive such is life x"
neutral,"nan"
neutral,"it looks like the office tv does get mlb network and it looks like mlbn will not be televising the det bal game today wieters"
neutral,"home empty handed no comics found today i shall now indulge in my cupcakes from magnolia bakery"
negative,"laying in bed til workkk oh the life definitely pinched a nerve"
negative,"today is a busy day exhausting"
neutral,"i was going to go on sunday but now i ve got too much going on that weekend"
negative,"sorry to hear ur flight got cancelled that blows"
negative,"ohh my tooth is hurts ohh im sad it very hurts"
positive,"before i get too distracted i d like to thank my new followers for taking the trouble to follow me and to my others feelin the love"
negative,"u think u have bills ha ii just finished paying mine that s y i m broke"
neutral,"not sure it didn t say it was big i jst saw the pics of u on ur last bday you looked so pretty i miss you"
neutral,"sore throat planning the tet outing to marwell though good times"
positive,"mcfly gig last nightt omg it was amazin didnt sit down through the whole thing mcfly did you see me and ma best mate we were in tutus"
negative,"days without sleep and now a migraine i thought life postr was meant to be relaxing"
neutral,"there"
negative,"sucks"
neutral,"whens the sway sway winner announced"
neutral,"k will check it out"
positive,"doing pretty well up and wide awake"
neutral,"i want to wake up early and get a coffee tomorrow today it s going to be a busyy day but have to keep writing booo whoo"
negative,"i miss daddy and mommy"
negative,"my dog is officially depressed that my brother s dogs are gone he doesn t want to go outside and when we did he play half heartedly"
neutral,"i just realized that i can t forward text msgs with my iphone"
positive,"my frist post off to find a new car for my parents exciting"
negative,"argh noo missed the killers on wossy that sucks missed out on brandon total failure anyone know if it s repeated must investigate"
negative,"seriously bored without anyone to talk to but not tired enough for sleep"
negative,"i am lost please help me find a good home"
neutral,"it s a peter gordon morning and i go to pieces and i wanna hide go to pieces and i almost die ever blip fm yk"
negative,"ok so i ve now got a bit of a bad back after lifting all drum hardware into my car downer"
neutral,"lmao smh that one threw me off"
positive,"oh nice going"
neutral,"is getting ready for work working all weekend"
positive,"gonna celebrate mothers day with the family but gonna start the partying tonite"
positive,"i agree with you"
negative,"i only do computers am hopeless at everything else"
positive,"degrees gross skies and thunderstorms perfect match for my mood lol"
positive,"nd aww thanks"
negative,"sorry rb is on ps for me"
neutral,"i saw amazing heeels but they were too big"
negative,"i just stuck my finger down my throat and there are a bunch of bumps on my tongue throat"
negative,"dang last url went down blip fm aigm"
negative,"ohoh i missed all ur tweets im gonna have to stay awake all night to see the announcement now time difference"
negative,"damnit all that sucks you were one of the ones i thought i d drag back lol"
neutral,"my boss she s moving to nyc"
negative,"this is sooo crazy i have fever"
negative,"is spending her saturday morning taking notes for a research essay because some stupid recalled the book i m using not fair"
neutral,"i think i need some new friends"
neutral,"looking forward to your gig in ireland see ya there"
positive,"please review sunehre ad placement tinyurl com oowmk"
positive,"aww you loooove me"
neutral,"is hungry twitter i want food"
positive,"awesome lucky you"
neutral,"yea i should know but tell me everything ps send me direct messages telling haha"
positive,"haha im jewish i love that one"
neutral,"had a great time out in the beer garden wit the boyos i think the sun got to me a bit though feel a bit ill"
negative,"l m on days too matt no fun this weekend"
neutral,"u really don t think so maybe ur right lol btw what phone u using think u told me b i might have an app for u"
negative,"i feel your pain mine is the same way"
neutral,"comes home in two days"
negative,"sadly no it didn t come with one"
positive,"cant wait to see my boy tomorrow"
neutral,"ehhh no just a check up i have a dentist app next week though getting my molar pulled root canal"
negative,"aww i miss driving down elmwood"
positive,"omg wango tango was awsome i love my baby for taking me"
positive,"version of our live interactive trans siberian ticket planner is launched tinyurl com cljwm its very cool"
positive,"i really wish i could go"
neutral,"yeah real hard but i know you ll get by with it smile"
negative,"i m in december that s not good at all next big birthday is after it flys by for sure"
positive,"this has made my night way too funny"
positive,"woo cavs happy mother s day"
neutral,"i make that same face when i get home and your mom is watching soaps"
neutral,"i have to go to work now"
neutral,"i can t believe you went and got boba without me"
neutral,"and to you too how are you today"
positive,"thanks for the warm welcome we didn t make plans because our arrival time was so up in the air"
neutral,"days and counting"
negative,"sorry friends i m swamped with deadlines right now and we have family visiting to boot no charades for me"
neutral,"brainfreeze"
neutral,"just discovered a shortcoming of gravity when you use twitpic integrated it doesn t subtract the pic url from the character limit"
negative,"my sunburn is peeling"
neutral,"perky purple nail polish isn t as perky when its chipped"
neutral,"twitpic com sx before they put a camera in the smokers pit i can no longer vandalize that door without being caught"
negative,"laying alone since mook s soo comfy in his f n play pen i thought it was ill at first now i don t have no one to cuddle with"
negative,"i hate the dentist"
negative,"nothing aimed at you just joining in sorry"
negative,"i m taking a twitter break cell is dying"
neutral,"qood morninq"
neutral,"writing my english original writing storyyyyy and listening to a little respect by erasure aaaaaah"
neutral,"needs more followers"
negative,"i wish i could get my nails done stupid job"
neutral,"the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww twitpic com aim"
neutral,"the no pants idea could be the new attempt world wide to attract business back to the airlines"
positive,"have a good one"
positive,"yep infact she is popular miss india talented film actress and lot more"
negative,"dosen t want to go to work tomorrow"
positive,"daniel has won dsds his voice is great"
neutral,"o i wish the birthday massacre would come to australia i think they said they re thinking about it tho tinyurl com plfch"
neutral,"was hoping to go to red lobster this weekend"
positive,"xatl u mean jack barakat s wow so have u ever gone to his house hehe i mean ur ssoo lucky to have the address"
positive,"i sure do hope it becomes this afternoon"
positive,"it means that you are now famous congrats"
negative,"my phone passed away yesterday he jumped off the table searching for a new phone"
positive,"i have such fantastic friends including several ones met through here thanks for being in my life you are such amazing people"
positive,"tamlyn wishes she was as cool as my sock draw"
neutral,"so no rice or crusty bread with the chili aawww"
neutral,"we are of like minds this evening my dear"
neutral,"come and save me from my packing please"
positive,"yes i love tea if that makes me typically english then so be it"
positive,"a mouth for sure"
neutral,"decde i finally just have hour of history at pm but i went to my highschool at am to make some homework with a friend"
positive,"pancakes with lemon and sugar thanks"
negative,"si no bueno i guess i just don t entertain him"
negative,"i m so hunrgy right now and these heels kill me i can hardly walk in them"
negative,"both electronic keys stopped working there is no keyhole cant get in my car so much for technology"
positive,"yay three followers good to know more than one person in this big wide world likes fishies"
negative,"my name is tony not hey poor tony"
positive,"goodmorning"
negative,"took a shift tomorrow i don t really feel like working right now"
positive,"i love mine too happy mother s day to your mom john taylor much love to you too"
neutral,"saw a black snake in the garden went back for a picture and it was gone"
positive,"twitpic com wukt we bought ludi her own rug dogs are the best"
negative,"no waterfront anymore faccia luna and clarendon will have to do"
positive,"loves her mum very much happy mothers day to all the wonderful mothers out there"
negative,"slipped up and caught the flu feeling like poop"
positive,"i have an urge to play wow but i have to wait weeks til im at my dads days til mcfly im so excited l"
negative,"ok the passengers no one is alive they re all dead you just don t know it til the end then you cry"
neutral,"discovered and are sharing on g reader with me and didn t even know it sigh i m such a g reader newb"
neutral,"is chilled out tonite so cannot spew venom or write funny seems like these are the only styles she has"
neutral,"if u do please pray me lord knows i need it"
neutral,"aaaaaw i want to live in the usa"
positive,"morning tweeple"
neutral,"hey i didn t get any"
positive,"now you only have hours to sleep rest if you need it"
neutral,"that makes my day so much better it s been a rough one did i mention i love the new photo"
negative,"i don t want to sit at home on prom night someone hang out with me"
positive,"is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with"
neutral,"concert tonight chackin out and not coming tomorrow"
neutral,"what happened i thought you were coming back today"
negative,"lol dammit well then next time then"
positive,"lol just don t ever forget me"
negative,"still jealous"
negative,"twitpic com qv me at forever ethan couldn t be there"
negative,"now im sad but im not giving in first i didnt do nothing"
negative,"this week of mine was not easy but finally it s over"
positive,"wow what a beautiful picture and by the way i am straight just wanted to let you know bella"
positive,"in arch drawing checking out mvcc s cad degree looks good to me"
neutral,"there are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy"
neutral,"just about to go home i m usually mr positive but this has been one of those daze well mins until tomorrow"
neutral,"but you always have lee let s go to paris"
positive,"you know you want to come keep me company whilst mum s at her friends for the night it s such a nice evening"
positive,"cooking with my dad having lots of fun in the kitchen together"
negative,"bouncing rush makes me feel nauseous"
positive,"off to woolsery this morning to hopefully see north molton u clinch the north devon league title lovely day for it"
negative,"playing singstar without my fave duetter"
positive,"you re missing out bb i m such a cereal nut i think i like every kind available"
negative,"that s just weird oh and what was it you were drawing for me"
positive,"just woke up o mums singing to her new gn r cd replacement i bought because im a good daughter"
negative,"the birds are out oh man that s not cool i didn t sleep yet for the night"
positive,"miles down only to go thats ok u on the radio alwas helps"
negative,"my street fighter iv skills are lacking can t beat seth on easy"
positive,"fil with cool people like me"
positive,"good morning work and then it s espn s sunday night baseball hopefully it won t get rained out"
neutral,"i think it s under a honeymoon by the good life either that or it s under a honey moon by joseph arthur"
negative,"my son got stung by a bug for the first time his little finger is slightly swollen"
neutral,"it was hours ago i came in and it s only now i realised when i went to buy something online"
neutral,"oh just referring to our lil exchange on lj with regards to twitter archive postings"
negative,"bumping dj opus in the drunk in the car lmao don t act like u don t know"
positive,"why kiss the feet of the people who kick you when you can be anything that you want to morning everyone hope you have the best day ever"
negative,"here s a brief preview bit ly ehcfp omg james is creepy in that role i m scared of him"
negative,"i m missing crab legs and attending my going away instead"
negative,"hicks are mean"
negative,"gettn ready to take a trip to jersey my dad s not doing so good he needs a new heart whoeva see s this please say a prayer for my dad"
neutral,"back soon need to run to the shops and cut the grass"
neutral,"i m up i have a plan to transform my bedroom today random"
negative,"home until tomorrow did my running and spinning now time for chiropractor laundry shopping and visiting family missing nathan"
neutral,"thats another sponsor"
negative,"and most of us are going to be stuck in an office some without windows"
negative,"no it s not sad should make you proud"
negative,"sorry we ll try to keep it down"
neutral,"is home alone doing hw"
negative,"according to a quarter of families under six live in poverty"
negative,"the plan to not spend money is not going well"
neutral,"uploading all my bamboozle pictures of facebook"
positive,"congratulations you guys finish a month early than we do booo"
negative,"actually i wish i was back in tahoe i miss it there"
neutral,"woke up i wanna stay in my bed"
negative,"but my bday is june this is wack and ihavent seen any promotions for my bday party someone better finagle this asap"
neutral,"it would be great if those vips were for some acts i d enjoy seeing but noooo"
neutral,"marie wish i could make it too i hate my commute sometimes"
positive,"workin a long day today hopefully i can make some good tips"
negative,"but it all went too quick and there wasn t a chance lol"
negative,"hates headaches maybe i m not ready to rock"
positive,"thanks for the support"
neutral,"there s really no android twitter app of tweetie s calibre"
positive,"had a good day driving up mountains visiting katie eating chips fudge and stocking up on lovely smelling soaps"
positive,"nyappy mother s day to your mom s"
neutral,"yeah and im gonna take ur picture off my ipod baby"
negative,"traumatizing moment of my childhood my dogs massacred baby bunnies and my brother and i got out the bb gun"
neutral,"lol same here wish there was a way to microsize everything lol"
negative,"organization itil forget about people and so they fail preaching to the converted it is the people tr im kwua"
positive,"libertine um glad you enjoyed it"
neutral,"about to have dinner and then an evening of playing cards already packed and ready to head home tomorrow do we have to go home"
negative,"im allergic to cats my tonsils get swollen and they hurt what do i dooo"
negative,"he says he feels mama tucking him in at night he s lonely but getting by tomorrow will be tough"
negative,"i miss her alot and its only been one day"
positive,"sounds like you all had a great night i m glad it was successful"
positive,"thanks for sharing that"
positive,"you should say mlia instead of fml i hope you find it soon"
positive,"garden going well almost all the corn and peas are up no onions or beets up yet though"
neutral,"nah jkin he s hot so bored now"
positive,"ahhh i m sqeaky clean and fresh even though i m wearing dirty clothes i love two and a half men it s amazing"
neutral,"yes i have read them many times"
neutral,"cuz you play a grown up on twitter"
negative,"i am living in ignorance"
